Timestamp,Longitude,Latitude,Operatorname,NetworkTech,Level,Speed,Altitude,Filemark
2025.04.02_18.38.03,77.89921,29.862311,JIO4G,4G,-80,4,233,
2025.04.02_18.38.12,77.899311,29.862344,JIO4G,4G,-84,4,230,
2025.04.02_18.38.21,77.899311,29.862344,JIO4G,2G,-113,4,230,
2025.04.02_18.38.23,77.899431,29.862361,JIO4G,2G,-113,3,229,
2025.04.02_18.38.24,77.899431,29.862361,JIO4G,4G,-86,3,229,
2025.04.02_18.38.30,77.899536,29.862385,JIO4G,4G,-86,3,233,
2025.04.02_18.38.44,77.899433,29.862368,JIO4G,4G,-72,0,235,
2025.04.02_18.38.51,77.899325,29.862371,JIO4G,4G,-77,3,231,
2025.04.02_18.39.00,77.899216,29.862343,JIO4G,4G,-77,3,228,
2025.04.02_18.39.09,77.899104,29.86231,JIO4G,4G,-66,4,230,
2025.04.02_18.39.17,77.898991,29.862298,JIO4G,4G,-59,4,227,
2025.04.02_18.39.24,77.898879,29.862308,JIO4G,4G,-59,4,224,
2025.04.02_18.39.33,77.898773,29.862299,JIO4G,4G,-64,3,226,
2025.04.02_18.39.42,77.898666,29.862298,JIO4G,4G,-66,3,222,
2025.04.02_18.39.49,77.898561,29.862301,JIO4G,4G,-67,4,220,
2025.04.02_18.39.56,77.898453,29.862308,JIO4G,4G,-74,4,218,
2025.04.02_18.40.03,77.898346,29.862305,JIO4G,4G,-71,4,217,
2025.04.02_18.40.13,77.898238,29.862306,JIO4G,4G,-69,3,218,
2025.04.02_18.40.22,77.898125,29.862313,JIO4G,4G,-70,3,219,
2025.04.02_18.40.31,77.89801,29.862325,JIO4G,4G,-62,0,219,
2025.04.02_18.40.38,77.897905,29.862351,JIO4G,4G,-61,3,222,
2025.04.02_18.40.49,77.897811,29.8624,JIO4G,4G,-74,4,230,
2025.04.02_18.40.57,77.897808,29.862496,JIO4G,4G,-71,4,235,
2025.04.02_18.41.04,77.897826,29.862586,JIO4G,4G,-72,4,234,
2025.04.02_18.41.13,77.89785,29.862683,JIO4G,4G,-73,4,230,
2025.04.02_18.41.20,77.89782,29.86277,JIO4G,4G,-73,4,227,
2025.04.02_18.41.28,77.89782,29.862873,JIO4G,4G,-76,4,227,
2025.04.02_18.41.37,77.897821,29.862978,JIO4G,4G,-76,4,223,
2025.04.02_18.41.46,77.897726,29.863031,JIO4G,4G,-74,4,227,
2025.04.02_18.41.53,77.89762,29.86302,JIO4G,4G,-70,3,229,
2025.04.02_18.42.00,77.89751,29.863028,JIO4G,4G,-65,4,226,
2025.04.02_18.42.08,77.897404,29.863045,JIO4G,4G,-63,3,225,
2025.04.02_18.42.15,77.8973,29.863056,JIO4G,4G,-67,3,225,
2025.04.02_18.42.22,77.8972,29.863031,JIO4G,4G,-75,3,224,
2025.04.02_18.42.30,77.897095,29.863028,JIO4G,4G,-77,3,223,
2025.04.02_18.42.38,77.896976,29.863025,JIO4G,4G,-80,3,224,
2025.04.02_18.42.45,77.896976,29.863025,JIO4G,4G,-80,3,224,
2025.04.02_18.42.46,77.896868,29.863021,JIO4G,4G,-80,3,225,
2025.04.02_18.42.47,77.896868,29.863021,JIO4G,2G,-113,3,225,
2025.04.02_18.42.50,77.896868,29.863021,JIO4G,4G,-79,3,225,
2025.04.02_18.42.58,77.896806,29.863098,JIO4G,4G,-82,0,226,
2025.04.02_18.43.05,77.896786,29.863191,JIO4G,4G,-85,3,228,
2025.04.02_18.43.13,77.89678,29.863293,JIO4G,4G,-84,3,230,
2025.04.02_18.43.21,77.896788,29.863385,JIO4G,4G,-82,3,232,
2025.04.02_18.43.27,77.896821,29.863475,JIO4G,4G,-82,3,236,
2025.04.02_18.43.36,77.896863,29.863565,JIO4G,4G,-78,4,238,
2025.04.02_18.43.45,77.896845,29.863665,JIO4G,4G,-79,4,237,
2025.04.02_18.43.52,77.896873,29.863758,JIO4G,4G,-80,4,231,
2025.04.02_18.43.59,77.896906,29.863848,JIO4G,4G,-81,3,222,
2025.04.02_18.44.08,77.896885,29.863943,JIO4G,4G,-81,3,217,
2025.04.02_18.44.16,77.896921,29.864034,JIO4G,4G,-78,4,220,
2025.04.02_18.44.24,77.897008,29.864096,JIO4G,4G,-84,3,216,
2025.04.02_18.44.32,77.897113,29.864075,JIO4G,4G,-84,3,212,
2025.04.02_18.44.39,77.897215,29.864055,JIO4G,4G,-87,4,214,
2025.04.02_18.44.49,77.897336,29.864068,JIO4G,4G,-86,3,216,
2025.04.02_18.45.00,77.897448,29.864076,JIO4G,4G,-87,3,217,
2025.04.02_18.45.07,77.897555,29.864093,JIO4G,4G,-88,3,214,
2025.04.02_18.45.10,77.897555,29.864093,JIO4G,2G,-113,3,214,
2025.04.02_18.45.13,77.897555,29.864093,JIO4G,4G,-90,3,214,
2025.04.02_18.45.16,77.897665,29.864091,JIO4G,4G,-90,3,216,
2025.04.02_18.45.22,77.897773,29.864066,JIO4G,4G,-92,3,219,
2025.04.02_18.45.32,77.897861,29.864018,JIO4G,4G,-89,4,221,
